Year,papers,avg_authors_per_paper,papers_with_author_counts,author_records,paper_yoy_pct,author_yoy_pct,avg_authors_yoy_pct
2003,994,1.7776659959758552,994,1767,,,
2004,1099,1.805277525022748,1099,1984,10.563380281690149,12.280701754385959,1.5532461727567393
2005,1224,1.819000819000819,1221,2221,11.3739763421292,11.945564516129025,0.7601764154183455
2006,1120,1.85625,1120,2079,-8.496732026143794,-6.393516434038727,2.0477825303917285
2007,1865,1.6620171673819744,1864,3098,66.51785714285714,49.01394901394902,-10.463721622519895
2008,1748,1.8558352402745995,1748,3244,-6.273458445040214,4.712717882504847,11.661616780886153
2009,1918,1.7705943691345152,1918,3396,9.7254004576659,4.685573366214557,-4.593127088559412
2010,1574,1.8900889453621348,1574,2975,-17.935349322210637,-12.396937573616018,6.748839729227751
2011,2143,1.791880541297247,2143,3840,36.14993646759848,29.075630252100847,-5.195967327668349
2012,1995,1.8701754385964913,1995,3731,-6.906206252916469,-2.838541666666672,4.36942616959064
2013,2348,1.8841567291311754,2348,4424,17.69423558897243,18.574108818011247,0.7475924582335702
2014,1342,2.1199701937406856,1342,2845,-42.84497444633731,-35.69168173598554,12.515597081897155
2015,1704,2.289319248826291,1704,3901,26.974664679582716,37.11775043936731,7.988275287342095
2016,2021,2.2830282038594754,2021,4614,18.603286384976524,18.277364778261983,-0.2747998109062788
2017,2190,2.2812785388127854,2190,4996,8.362196932211784,8.279150411790216,-0.07663790765843892
2018,2181,2.384685923888125,2181,5201,-0.4109589041095929,4.10328262610089,4.532869762109559
